content,sentimen
aplikasi glints bagus buat kita yang lagi nyari info loker. fiturnya bagus dan memudahkan buat nyari peluang kerja. bisa disesuaikan dengan lokasi daerah tempat tinggal juga.,1
"Cocok untuk fresh graduate yang lagi cari lowongan kerja karena gampang diakses bisa web atau apk, dan disediakan juga cv otomatis dan banyam lowongan kerja sesuai keinginan. Aku suka banget apk ini membantu banget",1
"filter fitur pencari pekerjaan tidak jalan. sudah jelas setting untuk lokasi atau posisi tertentu, yang ditampilkan tetap sama, tidak ada pengaruhnya.",1
"Aplikasi Ter the best ini, kita gak usah susah-susah cari lowongan kerja di web. Kita tinggal buka aplikasi kita cari pekerjaan yang kita mau sesuai domisili yang akan kita ambil. Terus fiturnya juga menarik dan mudah untuk di mengerti pokoknya good job banget aplikasi glints ini. Kalian harus download yahhðŸ‘ðŸ‘",1
"recommended, sangatt membantuu, banyak pilihan lowongan yang tersedia, juga fitur dalam aplikasinya pun tidak membuat rumit",1
"Aplikasinya cukup membantu bagi orang orang untuk mencari lowongan kerja, walaupin lowongan untuk kerja daya belum ketemu yang tepat tapi mungkin juga bisa di tambah fasilitas untuk lowongan paruh waktu ataupun freelance.",1
"sumpah ini apk berguna banget buat nyari lowongan kerja! fitur nya mudah di mengerti. pokoknya best deh, recommended banget buat kalian yang lagi butuh lowongan.",1
"aplikasi nya oke banget sih, bisa mempermudah buat yang lagi cari lowongan kerja fitur2 nya juga ga ribet jadi mudah di pahami",1
"Aplikasi bagus dan mudah menjalankannya,pelayanannya bagus, lowongan kerjanya banyak, recomended banget aplikasinya ga nyesel pokoknya download aplikasi ini, saya dapat kerjaan dari aplikasi ini",1
"Sangat terbantu dengan Glints! Aplikasinya memberikan kemudahan dalam mencari pekerjaan, dengan beragam opsi loker dan tata cara lamaran yang jelas.",1
"Selama ini sangat membantu mencari pekerjaan sampingan, tetapi pagi ini akun saya tiba-tiba logout. Saat coba login kembali selalu terjadi kesalahan. Mohon perbaikannya",1
"mau daftar magang dari web mbkm diarahkan ke glints tapi gabisa malah muncul location not available dan hanya bisa diakses oleh indonesian user, lah saya kan emang di indo, trs gmn dong gabisa trs sedangkan saya mau daftar mbkm",1
"Aplikasi yang sangat membantu untuk para fresh graduate yang lagi cari loker, aplikasi nya user friendly dan sangat mudah dipahami~ juga info loker nya sangat update!! Recommended buat kalian yang sedang cari loker",1
"habis update mlh tiap buka app malah harus login trs dan ada update trs, pakai koneksi wifi bermasalah trs setelah ubah pakai data baru bisa tp tiap konek wifi kembali login ulang.. tlg perbaiki",1
"Aplikasi yang sangat membantu untuk para pencari lowongan kerja. Tinggal klik,beragam loker ada di sin. Tinggal pilih sesuai minat dan tempat tinggal kamu",1
"pas pake apk ini lancar lancar aja sih. pilihan nya banyak bgt, terus ada kategorinya sendiri sendiri, jadi lebih gampang nyarinya. pas pake belum ada masalah sih, keren deh pokoknya!",1
"Aplikasi nya bagus, cocok nih buat yg lagi nyari loker, banyak pilihan, fitur fiturnya jg keren, tampilan simpel ga ribet.",1
"Apk yang sangat baik, lengkap, dan dapat dipercaya, karena menurut saya perusahaan yang membuka loker di apk ini 100% resmi dan tidak ada penipuan!!! Semoga kedepanya bsa di lengkapi dengan fitur yang lebih menarik contohnya seperti "" menghapus loker perusahaan yang sudah mencapai 1 bulan lebih "".",1
"Aplikasinya bener"" sebagus itu,memudahkan kita buat cari lowongan pekerjaan dan fitur nya juga lengkap.",1
"aplikasinya bagus cocok untuk yang mau cari loker sesuai kemampuan,fiturnya juga mudah, aplikasi nya bener bener aku rekomendasiin si",1
"mantap dah,, biasanya cari lowongan kerja skrng ini susah banget, tpi disini banyak info lowongan kerja.. suka pakai apk yg berguna kayak gini..ðŸ‘",1
awalnya saya pengangguran nyari kerjaan susah banget alhamdulilah setelah pakai apk ini saya dapat pekerjaan yang layak bagus banget deh apknya recomended banget buat yang lagi cari lowongan pekerjaan,1
Lowongan tidak tepat lokasi & urutan terbaru. Mohon glints perbaiki bukan malah nyuruh contact support. Anda sendiri kan bisa menyampaikan pesan keluhan ini.,1
"Apikasi yang bermanfaat, memudahkan saya untu mencari lowongan pekerjaan, dan apikasi ini juga akurat dalam penyampaian lokasi yang membutuhkan lowongan pekerjaan",1
Aplikasi sangat membantu bagi para pencari lowongan kerja terbaik lah... Sangat recomended banget untuk dipakai Loker juga banyak.... Terimakasih,1
"Dear developer, tolong diupdate agar user bisa menghapus lamaran yang sudah ditutup/belum sesuai, jadi tidak numpuk dan tidak bingung kaminya.",1
Terimakasih Glints. Aplikasi yang sangat bermanfaat untuk mencari kerja. Saya iseng coba cari kerja memakai aplikasi ini langsung menemukan yang sesuai dengan keahlian saya,1
Aplikasi nya Sangat Membantu sih Menurut saya.. memudahkan memilih jenis Lowongan Kerja yg sesuai Kemampuan diri.. Recomend,1
"Membantu banget, dalam mencari pekerjaan, banyak pilihan lowongan yang sesuai dengan sayang saya inginkan, terima kasih Glints....â™¥ï¸â™¥ï¸â™¥ï¸",1
"Udah 2x interview dan psikotes di 2 perusahan dlm 1 minggu ini , Untuk tiap perusahaan beda2 respon nya ada yg langsung ngsh tau klo cv kita tdk sesuai kriteria , kalo bingung untuk melihat status kita lanjut tidaknya tinggal d klik d kolom kirim cv , statusnya msh mengirim , ada yg sudah di lihat , Saran sih yg sudah bagus gk perlu d rubah lg, mungkin ug d rubah bagian yg terkendalanya saja min Makasih glints",1
"Aplikasi yang memudahkan dalam mencari lowongan kerja, mudah digunakan dan banyak pilihan yang bisa diambil.",1
"aplikasinya berguna bangett, cari lowongan kerja jadi lebih gampang, fitur fiturnya ngebantu banget, thanks glints",1
"aplikasi ini sangat bermanfaat, lebih mudah cari lowongan kerja sesuai skill yang kita miliki tanpa harus turun ke perusahaan perusahaan. aplikasi yang sangat recommend untuk para pejuang info loker",1
"Terimakasih indeed apknya sangat membantu sampai saya sudah mendapatkan pekerjaan yang sangat memuaskan, walaupun tidak ada pengalaman di bidang sebelumnya namun saya tetap di beri kesempatan dan sampai sekarang Alhamdulillah masih bekerja",1
"Bingung cari lowongan kerja kemana lagi, eh malah nemu aplikasi ini, thanks, aplikasinya benerÂ² mudah dipahami dan berguna banget.",1
"Aplikasi tempat cari lowongan pekerjaan , pendaftarannya mudah , Setting lokasinya juga mudah",1
Aplikasi yg memudahkan kita mencari lowongan pekerjaan dengan aplikasi Glints ini kita lebih cepat mendapatkan pekerjaan cocok buat kalian yg lagi butuh loker.,1
"Gausah pusing lagi mau cari loker kemana,tinggal pakai Glints ajaa.Lokernya banyak dan fitur fiturnya juga mudah di pahami.",1
Merasa beruntung si aku kenal dengan aplikasi ini. Karena memudahkan aku buat cari info lowongan kerja dengan mudah dan aman juga.,1
Gak jelas banget nich aplikasi...lokasi alamat dan map loker gak bisa di buka alias gak jelas.....katanya chat dengan HRD tp respon chat nya 2 sampai 3 hari blm juga direspon...seperti nya bukan terhubung dengan HRD loker yg kita lamar...klau mau buat aplikasi yg pasti aja bos.... nich blasan nya bos nyuruh balasan coment tp gak fitur balas....kan aneh....email.udah di email....klau nyuruh balas harus ada fitur balas...ini mala fitur hapus....,1
"Aplikasi glints keren bangett dan sangat membantu dalam mencari informasi lowongan pekerjaan, fitur fiturnya juga keren. Banyak banget lowongan pekerjaan sesuai bidang. Banyak opsi opsi pilihan lainnya pokoknya sangat membantu saya sekali.",1
sangat membantu bagi pencari loker sesuai skill nya masing-masing..semakin orang yg mndownload smesti'a smakin bagus buat k depan'a..ðŸ‘ŒðŸ‘ŒðŸ‘ðŸ‘,1
"Aplikasi yang dapat digunakan untuk membantu mencari loker,dengan fitur yang menarik dan mudah dipahami oleh penggunanya,dengan banyak info loker",1
"Glints kenapa pas di update malah susah buat login lagi ya? [Update]: sudah kembali normal, gercep sekali, terima kasih banyak. ðŸ˜ðŸ™",1
"Aplikasi yang bagus banget, buat para pencari kerja kaya aku. Semoga bisa dapet kerjaan yg sesuai ya, rcomend lah aplikasi glints",1
Aplikasi nya bagus bangett sangat membantu buat mencari lowongan kerja fitur2 nya juga mudah dipahami,1
"Rekomendasi aplikasi buat para pencari kerja nih..bagus aplikasinya, fitur lengkap cari kerja jadi makin mudah..",1
"Aplikasinya sangat membantu. Saya memberi rating 5 untuk aplikasi ini, karena sangat bagus dan dapat dipercaya. This is from Gurung-Manggarai-NTTðŸ˜ðŸ™",1
membantu banget buatt fresh graduate buat nyari nyari job yang available dan sesuai dengan kemampuan.,1
"Terimakasih atas perhatian pihak aplikasi. karena dengan cepat menanggapi ulasan permasalahan saya. saya tambah ratingnya, karena kinerja pihak aplikasi yg memuaskan ðŸ˜",1
Aplikasi nya bagus mempermudah banget buat nyari lowongan pekerjaan fitur nya lengkap mudah di mengerti rekomended sekali,1
"Bagus, selalu ku buka tiap hari. Yang penting udah ngisi profile, nanti otomatis dapet banyak rekomendasi loker yang sesuai sama kitanya, jd gaperlu capek2 cari lowongan sanaa sini",1
Wahh aplikasi nya sangat bagus banget rekomen banget untuk mencari lowongan kerja dengan sangat mudah sekali disini.,1
"dengan adanya aplikasi glints ini aku bisa lebih mudah cari lowongan kerja dan lebih mudah naro lamaran kerja, tanpa harus terjun ke perusahan perusahaan",1
"Aplikasi ini sangat cocok buat yang lagi butuh lowongan pekerjaan seperti saya, sangat mudah untuk mendapatkan lowongan pekerjaan",1
Sangat terbantu dengan adanya aplikasi ini. Mudah cari kerja. Aplikasinya juga mudah di gunakan. Mantap ðŸ‘,1
"Aplikasi nya bagus banget buat yang cari kerja, proses nya juga cepat panggilan nya pokok nya rekomendasi banget buat yang lagi cari kerja urgent",1
Baguss app nya sangat membantu dan mencari pekerjaan nya mudah dapat di daerah yang gampai di gapai,1
"Aplikasi pencari lowongan kerja yang sangat bagus, apalagi fiturnya sangat berguna, bintang 5 dehhh pokoknya",1
"menurut aku aplikasinya membantu banget buat cari lowongan kerja, jadi lebih gampang ngasilin cuan, recommend sih",1
"Bagus sih nih apk buat nyari lowongan pekerjaan, rekoment banget, ada banyak lowongan pekerjaan juga",1
Aplikasi bantu banget buat fresh graduate kayak aku. Jadi bisa tau lowongan kerja dimana dan kisaran gaji. Makasih banyak Glints,1
"Aplikasi yang cukup bagus untuk mencari lowongan pekerjaan, karena dalam aplikasi ini terdapat banyak sekali lowongan kerjaan",1
"Aplikasinya sangat cocok untuk saya yg lgi mencari pekerjaan, tampilannya juga simpel dan mudah dipahami",1
"aplikasi bagus, banyak fitur untuk cari lowongan pekerjaan. oke bngt gapake ribet cari info loker tinggal lihat di glints",1
"lagi nyari loker nih, aplikasi glints cocok banget ternyata, terima kasih glints udah bantu mempermudah nyari kerja!",1
Apk yang cocok untuk mencari pekerjaan banyak loker pekerjaan yang di tawarkan kita dengan mudah mencari pekerjaan di aplikasi ini apk yang sangat bagus,1
"Aplikasi berguna banget buat yang masih cari kerjaan, banyak lowongan profesional dan non profesional, usernya ramah sekali, aplikasinya mudah banget digunain bagi pengguna baru, lowongan nya pasti di respon dan banyak kelas yg cocok buat ngembangin kemampuan, sangat recommended",1
"Aplikasinya sangat membantu ga perlu keluar ongkos buat nyari pekerjaan, bner2 sangat terbantu terimakasih glints",1
"Aplikasinnya sangat membantu dengan fiturÂ² yang sangat mudah di pahami. Aplikasinnya juga nyaman banget dipake apalagi bahasanya bisa milih. Tentu bisa mempermudah mencari pekerjaan lewat app ini, sangat membantu para kaum mageran untuk bisa mencari loker lewat app ini.",1
"Aplikasi sangat membantu, tampilan juga simple nggak bikin pusing penderita baru. Cocok buat freshgraduate yg nyari skill diluar akademis. Lowongan banyak pilihan jadi nggak bingung nyari/pilih satu satu.",1
"Apknya oke sih menurut aku. Soalnya kalau cari kerja jadi lebih mudah. Udah gitu ada fitur pilihannya, sesuai debgan kemampuan. Jd ada banyak opsi sih di sini. Tp kalau misal fitur2nya dilengkapi tgl wawancara atau mendeteksi jarak terdekat dengan rumah makin oke sih.",1
"Aplikasi sangat membantu, tampilan juga simple nggak bikin pusing. Cocok buat freshgraduate yg nyari skill diluar akademis. Lowongan banyak pilihan jadi nggak bingung nyari/ pilih satu satu.",1
"Aplikasi nya ngebantu banget sih,tampilan nya juga user friendly jadi ga bikin pusing dan mudah difahami buat user baru, cocok buat freshgraduate buat nyari skill di luar akademis. Lowongan pekerjaannya juga banyak baik profesional atau ngga jadi ga bingung milih nya dan setiap lowongan pasti dapet respon.",1
"Aplikasinya stuck di UI logo, awalnya saya kira karena hp saya yg kentang, tapi setelah saya coba di hp lain yg punya spek lebih baik, masalahnya masih tetap sama, stuck di halaman openingnya yang berwarna biru dgn logo di tengah, saya belum merasakan sama sekali memakai aplikasi glints di ponsel. Saya harap developer bisa memperbaiki bug ini.",1
"Aplikasi nya oke banget, bisa buat cari info lowongan kerja dengan mudah tanpa kita cari panas2 an diluar sana",1
"Sampe saat ini kok ditolak terus, padahal skiil udh punya pengalaman udh punya, iki aplikasi beneran atau hanya buat lucu luca. Aja sih ? Yg open job pada gak serius!",1
"Aplikasinya simpel mudah dimengerti, dan bagus orang untuk nyari loker lowongan kerja",1
"aplikasinya sangat bagus, mudah digunakan dan gampang bgt carii kerjaanya, thanks glints!!!",1
"Keren sih, mudah di pahami dan juga banyak lowongan kerjanya. Setiap hari update juga.",1
"Aplikasinnya sangat membantu dengan fitur yang sangat mudah di pahami. Aplikasinnya juga nyaman banget dipake apalagi bahasanya bisa milih. Tentu bisa mempermudah mencari pekerjaan lewat app ini, sangat membantu para kaum mageran untuk bisa mencari loker lewat app ini.",1
"Keren si ada aplikasi beginian bisa mempermudah orang2 yg lagi butuh kerja apalagi di ind banyak yg nganggur lagi ,harus dicontoh nih bisa memajukan bangsa ,tingkatan lagi kualitasnya minn aku dukung ðŸ«¡ 5â˜…",1
"Bagus banget mudah buat cari lowongan kerja, gkribet untuk pemula banyak fiturnya juga",1
"Nih aplikasi sangat di sarakan buat yang lagi nyari loker, semoga dengan apk ini bisa cepet dapet pekerjaan. Apk nya juga gampang digunakan.",1
"Aplikasi sangat membantu, tampilan juga simple nggak bikin pusing. Cocok buat freshgraduate yg nyari skill diluar akademis. Lowongan banyak pilihan jadi nggak bingung nyari/ pilih satu satu.",1
"Aplikasi yang mempermudah mencari lowongan pekerjaan, membantu banget bagi fresh graduate, fiturnya sangat membantu dan mudah penggunaannya. Selain itu ada pelatihan mengasah skill sangat bermanfaat jika ingin mengasah dan mengembangkan skill, nyaman digunakan bagi pemula untuk mencari magang/pekerjaan lowongan pasti di respond.",1
"Aplikasinya sangat bagus untuk saya yang sedang mencari lowongan pekerja, dan lokernya juga cukup lengkap",1
"Aplikasi pencari kerja yang bagus, detail. Dan tidak lemot jg kalau di buka via hamdphone",1
"aplikasinya rekomended bgt buat yg lagi cari kerja, di apk ini banyak lowongan buat profesional maupun non profesional, lowongannya juga pasti direspon selain itu banyak kelas buat ngembangin skill juga, aplikasinya juga mudah banget digunakan cocok buat yg lagi nyari kerja.",1
"Filternya tidak berfungsi, saya ingin mencari pekerjaan dg posisi HR dan di Jakarta.. Tapi yg muncul kerjaan yg lain dan kota lain.. Harap perbaiki..",1
"Kalo mau cari loket ya disini tempatnya,,lowongan kerjanya banyak,,aplikasinya mudah digunakan",1
"Pengalaman yang sangat menyenangkan menggunakan Aplikasi ini. Mencari kerja dalam genggaman, upgrade skill di berbagai bidang, kita bisa memilih untuk fokus dibidang yang pekerjaan tertentu. Terimakasih banyak, Sukses selalu Glints!",1
"Glints aplikasi loker terrrr debest sih. soalnya banyak fitur kayak nyari kerjaan yang tanpa pengalaman, tanpa ijazah, kerja kontrak maupun non kontrak. cara pakai apk nya juga mudah banget, trus juga ada career class nya yang bisa dipelajari biar gampang lolos interview dan lain sebagainya. thank you Glints â™¥ï¸",1
"Aplikasi yang mempermudah mencari lowongan pekerjaan, membantu banget bagi fresh graduate, fiturnya sangat membantu dan mudah penggunaannya. Selain itu ada pelatihan mengasah skill sangat bermanfaat jika ingin mengasah dan mengembangkan skill, nyaman digunakan bagi pemula untuk mencari magang/pekerjaan lowongan pasti di respond.",1
"Apilikasinya sangat membantu dengan fitur"" yang sangat mudah di pahami.aplikasinya juga nyaman banget d pake apalagi bahasany bisa milih. tentu bisa mempermudah mencari pekerjaan lewat app ini,sangat membantu kaum mageran untuk bisa mencari loker lewat app ini",1
"Aplikasi glints sangat membantu untuk mencari pekerjaan, agar tidak perlu Jauh-jauh untuk mencari kerja. Banyak pilihan pekerjaan yang bagus dan cocok untuk saya, dan gaji yang di tawarkan juga lumayan, aplikasi glints sangat membantu sekali jika ingin mencari pekerjaan yang tepat dan sesuai kemampuan. Terimakasih glints telah hadir untuk para pencari pekerjaan",1
Aplikasi ini sangat membantu dalam mencari info loker dimanapun anda berada. Sangat direkomendasikan. Kedepannya detail kecil perlu ditingkatkan fiturnya supaya pengguna semakin puas dan nyaman.,1
Sejauh ini aplikasinya bagus. Lowongan kerjanya pilihannya bnyak dn detail jd ga pusing buat nyari.mksih,1
"yang masih mencari pekerjaan, glints selalu update info loker terkini, good pertahankan",1
"Bagus dan responsif para pembuat loker lumayan cepat, serta sampaii saat ini saya belum diterima salah satunya",1
"Senang banget sama glints,, memudahkan kita untuk cari info lowongan kerja yang sesuai sama skill yang kita punya",1
"Sangat rekomended bagi sobat pencari kerja. Dengan fitur sangat mudah digunakan, Aplikasi ini wajib terinstall di HP untuk dapat info lowongan kerja terbaru dan bermacam-macam, ada juga kelas untuk mengembangkan diri. All in all, Glints sudah sangat membantuku!",1
"Aplikasi yg sangat membantu bagi para pencari lowongan kerja . Fitur""nya sangat mudah dipahami. Menurut saya, apk ini juga user friendly. Penjelasan mengenai info pekerjaan pun lengkap, dan kita bisa menyesuaikan skill yg kita punya dg info yg ada di sana.",1
"Sangat membantu dengan fitur aplikasi yang mudah, sehingga kita bisa mencari pekerjaan sesuai keahlian kita",1
"Aplikasi yg bagus buat para remaja yg baru llus sekolah,ada banyak pekerjan di dalamnya.",1
Tolong dong ini Glints semenjak Ku perbarui g bisa masuk ke aplikasinya.. terjadi kesalahpahaman katanya tolong donk diperbaiki aku lagi nunggu panggilan kerja ..plisss,1
"Aplikasinya sangat membantu dalam mencari lowongan pekerjaan, fitur nya juga mudah dipahami",1
"aplikasinya sangat berguna untuk yang mencari lowongan kerja, recommended bangett dahh",1
"Sekarang kalau mau nyari lowongan kerja jadi semakin gampang, dengan adanya aplikasi glints ini dapat memudahkan para pencari kerja untuk mendapatkan pekerjaan",1
"Saya kasih dulu tiga bintang yah, nanti kalo saya sudah dapat pekerjaan dari apk ini. Baru saya akan update bintangnya. Terima kasih banyak karena sudah sediakan inf lokernya kak, semoga kebaikannya dibalas sama Tuhan kak.",1
"Aplikasi ini sangat mempermudah mencari lowongan kerja. Apalagi di tunjang dengan fitur-fitur nya yang mudah digunakan dan lengkap banget. Tersedia banyak lowongan profesional dan non profesional, selain itu ada banyak juga kelas yang related buat ngembangin skill.",1
"Banyak yang terbantu oleh aplikasi ini, banyak lowongan dari profesional sampe non profesional yang lagi di butuhin, dan semua lowongan di respon, mudah digunain, serta banyak kelas untuk ngembangin skills juga. Terimakasih",1
"aplikasi sangat bagus, fiturnya lengkap, cocok buat yg nganggur/cari lowongan kerja",1
"Fitur komunitas sangat membantu apalagi untuk para freelancer/Partime Glint merupakan apk pengembangan karier terbaik di Indonesia menurut saya. Selain itu, bisa belajar langsung dar UI expert di bidangnya. Pertahankan selalu glints...",1
Aplikasi yang memudahkan banget buat cari pekerjaan di semua tingkat pendidikan dan yang kita minati juga,1
Apknya Oke si menurutku. Lebih gampang cari pekerjaan dan di lengkapi jadwal wawancara juga,1
Aplikasi glint ini sangat penting buat mencari lowongan pekerjaan dan banyak juga pilihan-pilihannya,1
fitur nya lengkap dan tampilan aplikasinya juga memudahkan untuk mencari loker,1
"Aplikasi glints bagus banget, flatform terbaik yang pernah ada, untuk mencari lowongan pekerjaan juga gampang nilai plusnya lebih lagi bukan hanya lowongan pekerjaan tapi bisa komunikasi, recomended banget pokonya.",1
aplikasi terbaik untuk orang orang yang sedang mencari lowongan pekerjaan. fitur fiturnya juga gampang.topðŸ‘,1
Lebih mudah mencari sesuai bidang ..tp sayang kebanyakkan info lokernya udh lewat waktunya,1
"sangat baik, aplikasi mudah di pahami dan sangat mudah mencari kerja",1
Sangat mudah untuk dioperasikan dan untuk langsung membslas dengan hrd juga dipermudah,1
solusi mudah untuk mendapatkan lowongan kerja gunakan aplikasi ini si cocok banget untuk mencari pekerjaan yang anda mau.,1
"Mantap bgt cuy, apk Glints tuh mempermudah kita untuk mencari lowongan perkerjaan ðŸ”¥ðŸ‘ðŸ»",1
Kok di update malah ga bisa login yaa.. padahal sandi dan email benar.. gimana dong ? Tolong bantu dong,1
Aplikasi ini bener-bener mempermudah banget buat yg nyari pekerjaan. Lowongannya banyak bgt baik lowongan profesional maupun non profesional. Respon cepat dan baik. Disini juga ada kelas-kelas buat bantu upgrade skill serta aplikasinya mudah untuk digunakan dan gak ribetttt ðŸ‘ŒðŸ‘Œ recommend banget sihðŸ‘Œ,1
"Aplikasi ini sangat membantu dengan fitur yang sangat mudah di pahami. Aplikasinnya juga nyaman banget dipake apalagi bahasanya bisa milih. Tentu bisa mempermudah mencari pekerjaan lewat app ini, sangat membantu para fresh graduate untuk yang bingung cari kerja dan memilih mencari loker di apk ini",1
"Mempermudah buat cari loker nih, aplikasi juga gampang dan lancar di gunakan",1
Aplikasinya rekomen bgt buat para pencari loker. Info lengkap dan membantu bgt,1
"Aplikasinya mudah di pahami, dan banyak bermacam macam lowongan kerja, mantapp",1
"Melamar kerja jadi mudah pakai Glints, lowongan yang tersedia banyak, jadi tinggal apply aja lowongan yang sesuai dengan keinginan kita.",1
"Cari lowongan kerja ga susahÂ², tinggal scroll dan klik-klik. Bisa langsung chat sama HRD juga",1
"Aplikasi nya bagus cocok untuk yang ngangur dah berapa tahun bisa nih pakek aplikasi nya , sangat bermanfaat lah â¤",1
Baru juga ngelamar ke 3 perusahaan besoknya langsung di kontak via WA dong dan di undang interview alhamdulillah aplikasi amanah,1
"aplikasi pencari kerja dengan fitur yang lengkap,memudahkan saya menemukan loker sesuai dengan keahlian saya",1
Wahh bagus banget aplikasi nya berguna banget yang nyari lowongan pekerjaan download aplikasi ini di jamin dapet dan cepat Terima kasih,1
"baguss, kalau mau cari pekerjaan bisa di sini cari yang kamu minati dan banyak lagi pokok nya oke lah aplikasi ini",1
"Kenapa pas di perbarui malah ga bisa masuk dan selalu terjadi kesalahan tolong secepat nya diperbaiki,terima kasih",1
"Aplikasi pencari pekerjaan paling terworth it, paling terpercaya.",1
"gampang pakai nya dan semoga cepat dapat pekerjaan nya , terimakasih atas pembuatan apk ini",1
Udah cari loker sana sini aplikasi ini itu tapi emang jodohnya daper di glints. Terima kasih glints. Saya sekarang udh dapet kerja. Semoga pejuang loker lainnya juga bisa segera dapet kerja yang diinginkan yaaa,1
"Lowongan kerja yang disediain bagus bagus dan jelas arahnya, recommended bngt deh",1
"mantep banget aplikasinya, buat para pemuda yang baru lulus sekolah disini banyak sekali lowongan kerja",1
yang direkomendasikan loker lama dan yang loker baru lokasinya jauh dari lokasi saya padahal udah disetting.,1
Solusi untuk yg lagi mencari lowongan pekerjaan. Disegala bidang tersedia ada berbagai macam kriteria dan kebutuhan,1
apk nya bermanfaat banget buat cari cari loker & karir. rekomendasi banget sih !!,1
"aplikasi nya mudah digunakan,banyak loker di dalamnya yg memudahkan kita mencari pekerjaan",1
"Aplikasinya bagus, developer always update dan rata rata panggilan interview saya dari sini semua",1
"Buat aku yang baru aja lulus dan bingung mau kerja dimana, aplikasi ini berguna banget buat cari info loker. dan jadi rekomendasi ini buat yang lain",1
Aplikasinya sangat rekomendasi buat cari lowongan pekerjaan karena banyak loker diapk ini,1
"Thanks, cari lowongan kerja lengkap dan mudah. Respon perusahaannyapun gercep",1
"Sangat membatu dalam mencari pekerjaan tapi sebener nya g ada panggilan panggilan dari pihak perusahaan,,sebener nya masih meragukan bener apa gak aplikasi ini bisa membatu",1
